item_id,item_name,category,item_type,uom,accounting_group
86,Ralph Lauren Hoodie - Black [L],Men Fashion,Stock,Pcs,Inventory
87,Levi's Formal Blazer - Olive [34],Men Fashion,Stock,Pcs,Inventory
88,Industrial Bubble Wrap - Large Roll 500m,Packaging Material,Consumable,Roll,Opex-Logistics
89,OnePlus 11 5G 256GB (Starlight),Mobile Phones,Stock,Pcs,Inventory
90,Industrial Corrugated Box - Padded,Packaging Material,Consumable,Roll,Opex-Logistics
91,Dell Vostro 3510 - M2 Chip/8GB,IT Equipment,Asset,Pcs,Capex-IT
92,Zara Formal Blazer - White [34],Men Fashion,Stock,Pcs,Inventory
93,Waste Disposal (Monthly),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
94,Content Writing - Monthly,Marketing Svc,Service,Month,Opex-Marketing
95,Video Production - Q2,Marketing Svc,Service,Month,Opex-Marketing
96,HVAC Maintenance (Daily),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
97,Pest Control (Daily),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
98,PaperMate Sticky Notes 3x3 - Box of 12,Office Supplies,Consumable,Box,Opex-Admin
99,HVAC Maintenance (Monthly),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
100,Staples Stapler Heavy Duty - Ream (500),Office Supplies,Consumable,Box,Opex-Admin
101,Waste Disposal (Daily),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
102,Samsung Galaxy Z Fold4 256GB (Midnight),Mobile Phones,Stock,Pcs,Inventory
103,H&M Hoodie - Olive [M],Men Fashion,Stock,Pcs,Inventory
104,Staples Ballpoint Pens (Blue) - Box of 12,Office Supplies,Consumable,Box,Opex-Admin
105,Office Cleaning (Daily),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
106,PaperMate Copy Paper A4 - Box of 12,Office Supplies,Consumable,Box,Opex-Admin
107,Staples Whiteboard Markers - Ream (500),Office Supplies,Consumable,Box,Opex-Admin
108,Samsung Galaxy A54 256GB (Green),Mobile Phones,Stock,Pcs,Inventory
109,Microsoft Surface Book 3 - i7/16GB/512GB,IT Equipment,Asset,Pcs,Capex-IT
110,Kellogg's Chocos (Pack of 6),Groceries,Stock,Kg,Inventory
111,Unilever Hellmann's Mayo (5kg),Groceries,Stock,Kg,Inventory
112,Microsoft Webcam - Ergonomic,IT Equipment,Asset,Pcs,Capex-IT
113,Lenovo ThinkPad X1 - i7/16GB/512GB,IT Equipment,Asset,Pcs,Capex-IT
114,Facility Mgmt Item 113 (Standard),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
115,Dell Precision 5560 - M2 Chip/8GB,IT Equipment,Asset,Pcs,Capex-IT
116,Social Media Retainer - Q2,Marketing Svc,Service,Month,Opex-Marketing
117,Uniqlo Hoodie - Beige [S],Men Fashion,Stock,Pcs,Inventory
118,PPC Management - Q4,Marketing Svc,Service,Month,Opex-Marketing
119,H&M Chino Trousers - Black [34],Men Fashion,Stock,Pcs,Inventory
120,Industrial Stretch Film - Large Roll 500m,Packaging Material,Consumable,Roll,Opex-Logistics
121,PaperMate Sticky Notes 3x3 - Single,Office Supplies,Consumable,Box,Opex-Admin
122,Nestle KitKat Box (Pack of 12),Groceries,Stock,Kg,Inventory
123,LocalFarm Wheat Flour (Pack of 12),Groceries,Stock,Kg,Inventory
124,Dell Vostro 3510 - 8GB/256GB,IT Equipment,Asset,Pcs,Capex-IT
125,Kellogg's Corn Flakes (5kg),Groceries,Stock,Kg,Inventory
126,Coca-Cola Sprite Bottle (Pack of 12),Groceries,Stock,Kg,Inventory
127,Levi's Formal Blazer - Blue [M],Men Fashion,Stock,Pcs,Inventory
128,Nestle Gold Coffee (1kg),Groceries,Stock,Kg,Inventory
129,Ralph Lauren Denim Jeans - Olive [M],Men Fashion,Stock,Pcs,Inventory
130,PaperMate Whiteboard Markers - Pack of 5,Office Supplies,Consumable,Box,Opex-Admin
131,Video Production - Q4,Marketing Svc,Service,Month,Opex-Marketing
132,Facility Mgmt Item 131 (Standard),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
133,Content Writing - Q1,Marketing Svc,Service,Month,Opex-Marketing
134,Adidas Chino Trousers - Blue [L],Men Fashion,Stock,Pcs,Inventory
135,Facility Mgmt Item 134 (Standard),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
136,Facility Mgmt Item 135 (Standard),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
137,PaperMate Stapler Heavy Duty - Box of 12,Office Supplies,Consumable,Box,Opex-Admin
138,3M Ballpoint Pens (Blue) - Single,Office Supplies,Consumable,Box,Opex-Admin
139,Facility Mgmt Item 138 (Standard),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
140,Facility Mgmt Item 139 (Standard),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
141,Apple iPhone 13 256GB (Midnight),Mobile Phones,Stock,Pcs,Inventory
142,Facility Mgmt Item 141 (Standard),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
143,Industrial Corrugated Box - Large Roll 500m,Packaging Material,Consumable,Roll,Opex-Logistics
144,Bic Sticky Notes 3x3 - Box of 12,Office Supplies,Consumable,Box,Opex-Admin
145,PaperMate Stapler Heavy Duty - Single,Office Supplies,Consumable,Box,Opex-Admin
146,Nike Formal Blazer - Navy [XL],Men Fashion,Stock,Pcs,Inventory
147,H&M Polo T-Shirt - Olive [36],Men Fashion,Stock,Pcs,Inventory
148,Facility Mgmt Item 147 (Standard),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
149,Staples Copy Paper A4 - Ream (500),Office Supplies,Consumable,Box,Opex-Admin
150,Lenovo Legion 7 - 32GB/1TB SSD,IT Equipment,Asset,Pcs,Capex-IT
151,Calvin Klein Denim Jeans - Grey [M],Men Fashion,Stock,Pcs,Inventory
152,Industrial Packing Tape - Large Roll 500m,Packaging Material,Consumable,Roll,Opex-Logistics
153,OnePlus Nord CE 3 128GB (Phantom Black),Mobile Phones,Stock,Pcs,Inventory
154,Logitech Wireless Mouse - RGB,IT Equipment,Asset,Pcs,Capex-IT
155,Industrial Bubble Wrap - Industrial Grade,Packaging Material,Consumable,Roll,Opex-Logistics
156,Video Production - Monthly,Marketing Svc,Service,Month,Opex-Marketing
157,Microsoft Surface Laptop 5 - 8GB/256GB,IT Equipment,Asset,Pcs,Capex-IT
158,OnePlus 11 5G 128GB (Midnight),Mobile Phones,Stock,Pcs,Inventory
159,Samsung Galaxy S22 128GB (Phantom Black),Mobile Phones,Stock,Pcs,Inventory
160,Unilever Lipton Green Tea (1L Bottle),Groceries,Stock,Kg,Inventory
161,Facility Mgmt Item 160 (Standard),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
162,PaperMate Sticky Notes 3x3 - Pack of 5,Office Supplies,Consumable,Box,Opex-Admin
163,SEO Audit - Q2,Marketing Svc,Service,Month,Opex-Marketing
164,Industrial Poly Mailer - Padded,Packaging Material,Consumable,Roll,Opex-Logistics
165,Apple iPhone 14 Pro 256GB (Phantom Black),Mobile Phones,Stock,Pcs,Inventory
166,Microsoft Surface Book 3 - 16GB/512GB SSD,IT Equipment,Asset,Pcs,Capex-IT
167,Samsung Galaxy A54 256GB (Midnight),Mobile Phones,Stock,Pcs,Inventory
168,"Industrial Bubble Wrap - 12x12x12""",Packaging Material,Consumable,Roll,Opex-Logistics
169,3M Whiteboard Markers - Pack of 5,Office Supplies,Consumable,Box,Opex-Admin
170,Google Pixel 6a 512GB (Starlight),Mobile Phones,Stock,Pcs,Inventory
171,Social Media Retainer - Monthly,Marketing Svc,Service,Month,Opex-Marketing
172,Uniqlo Denim Jeans - Charcoal [S],Men Fashion,Stock,Pcs,Inventory
173,Facility Mgmt Item 172 (Standard),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
174,Microsoft Surface Book 3 - 32GB/1TB SSD,IT Equipment,Asset,Pcs,Capex-IT
175,Apple iPhone 15 Plus 128GB (Phantom Black),Mobile Phones,Stock,Pcs,Inventory
176,OnePlus 11 5G 128GB (Silver),Mobile Phones,Stock,Pcs,Inventory
177,Facility Mgmt Item 176 (Standard),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
178,Coca-Cola Kinley Water (Pack of 6),Groceries,Stock,Kg,Inventory
179,Apple iPhone 15 Plus 512GB (Starlight),Mobile Phones,Stock,Pcs,Inventory
180,Video Production - Q1,Marketing Svc,Service,Month,Opex-Marketing
181,Content Writing - Q4,Marketing Svc,Service,Month,Opex-Marketing
182,LocalFarm Basmati Rice (1kg),Groceries,Stock,Kg,Inventory
183,Content Writing - Q3,Marketing Svc,Service,Month,Opex-Marketing
184,Facility Mgmt Item 183 (Standard),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
185,Tommy Hilfiger Slim Fit Shirt - Grey [34],Men Fashion,Stock,Pcs,Inventory
186,3M Ballpoint Pens (Blue) - Ream (500),Office Supplies,Consumable,Box,Opex-Admin
187,Calvin Klein Hoodie - Charcoal [36],Men Fashion,Stock,Pcs,Inventory
188,DailyFresh Butter Salted (5kg),Groceries,Stock,Kg,Inventory
189,HP Z27k G3 (4K UHD),IT Equipment,Asset,Pcs,Capex-IT
190,SEO Audit - Q4,Marketing Svc,Service,Month,Opex-Marketing
191,3M Ballpoint Pens (Blue) - Pack of 5,Office Supplies,Consumable,Box,Opex-Admin
192,Uniqlo Crew Neck Sweater - White [36],Men Fashion,Stock,Pcs,Inventory
193,Pilot Copy Paper A4 - Box of 12,Office Supplies,Consumable,Box,Opex-Admin
194,LocalFarm Sugar (5kg),Groceries,Stock,Kg,Inventory
195,PaperMate Sticky Notes 3x3 - Ream (500),Office Supplies,Consumable,Box,Opex-Admin
196,LocalFarm Sugar (1kg),Groceries,Stock,Kg,Inventory
197,Uniqlo Hoodie - Navy [36],Men Fashion,Stock,Pcs,Inventory
198,Apple iPhone 14 128GB (Midnight),Mobile Phones,Stock,Pcs,Inventory
199,Facility Mgmt Item 198 (Standard),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
200,Facility Mgmt Item 199 (Standard),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
201,Apple iPhone 14 512GB (Midnight),Mobile Phones,Stock,Pcs,Inventory
202,Coca-Cola Kinley Water (1L Bottle),Groceries,Stock,Kg,Inventory
203,Nike Hoodie - Blue [XL],Men Fashion,Stock,Pcs,Inventory
204,Facility Mgmt Item 203 (Standard),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
205,Nike Crew Neck Sweater - Black [32],Men Fashion,Stock,Pcs,Inventory
206,OnePlus 10T 512GB (Midnight),Mobile Phones,Stock,Pcs,Inventory
207,3M Sticky Notes 3x3 - Pack of 5,Office Supplies,Consumable,Box,Opex-Admin
208,Social Media Retainer - Q1,Marketing Svc,Service,Month,Opex-Marketing
209,Facility Mgmt Item 208 (Standard),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
210,LocalFarm Basmati Rice (5kg),Groceries,Stock,Kg,Inventory
211,OnePlus 11 5G 512GB (Phantom Black),Mobile Phones,Stock,Pcs,Inventory
212,Facility Mgmt Item 211 (Standard),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
213,Industrial Packing Tape - Padded,Packaging Material,Consumable,Roll,Opex-Logistics
214,Industrial Stretch Film - Padded,Packaging Material,Consumable,Roll,Opex-Logistics
215,Google Pixel 7 Pro 256GB (Silver),Mobile Phones,Stock,Pcs,Inventory
216,Facility Mgmt Item 215 (Standard),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
217,Ralph Lauren Hoodie - White [34],Men Fashion,Stock,Pcs,Inventory
218,Pilot Ballpoint Pens (Blue) - Ream (500),Office Supplies,Consumable,Box,Opex-Admin
219,Industrial Poly Mailer - Large Roll 500m,Packaging Material,Consumable,Roll,Opex-Logistics
220,SEO Audit - Monthly,Marketing Svc,Service,Month,Opex-Marketing
221,Marketing Svc Item 220 (Standard),Marketing Svc,Service,Month,Opex-Marketing
222,Samsung Galaxy A54 128GB (Phantom Black),Mobile Phones,Stock,Pcs,Inventory
223,Bic Copy Paper A4 - Box of 12,Office Supplies,Consumable,Box,Opex-Admin
224,Industrial Stretch Film - Clear 2 inch,Packaging Material,Consumable,Roll,Opex-Logistics
225,Marketing Svc Item 224 (Standard),Marketing Svc,Service,Month,Opex-Marketing
226,Ralph Lauren Polo T-Shirt - White [M],Men Fashion,Stock,Pcs,Inventory
227,Unilever Lipton Green Tea (500g),Groceries,Stock,Kg,Inventory
228,Industrial Packing Tape - Clear 2 inch,Packaging Material,Consumable,Roll,Opex-Logistics
229,Bic Whiteboard Markers - Ream (500),Office Supplies,Consumable,Box,Opex-Admin
230,HP Z27k G3 (144Hz IPS),IT Equipment,Asset,Pcs,Capex-IT
231,Facility Mgmt Item 230 (Standard),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
232,Levi's Polo T-Shirt - Charcoal [36],Men Fashion,Stock,Pcs,Inventory
233,Facility Mgmt Item 232 (Standard),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
234,Pilot Copy Paper A4 - Pack of 5,Office Supplies,Consumable,Box,Opex-Admin
235,Google Pixel 7 Pro 128GB (Silver),Mobile Phones,Stock,Pcs,Inventory
236,Calvin Klein Hoodie - Navy [M],Men Fashion,Stock,Pcs,Inventory
237,DailyFresh Butter Salted (Pack of 6),Groceries,Stock,Kg,Inventory
238,H&M Denim Jeans - Beige [M],Men Fashion,Stock,Pcs,Inventory
239,Kellogg's Corn Flakes (Pack of 6),Groceries,Stock,Kg,Inventory
240,Nestle KitKat Box (1L Bottle),Groceries,Stock,Kg,Inventory
241,Marketing Svc Item 240 (Standard),Marketing Svc,Service,Month,Opex-Marketing
242,DailyFresh Whole Milk (500g),Groceries,Stock,Kg,Inventory
243,LocalFarm Mustard Oil (Pack of 6),Groceries,Stock,Kg,Inventory
244,Google Pixel 7 Pro 128GB (Phantom Black),Mobile Phones,Stock,Pcs,Inventory
245,Industrial Stretch Film - Industrial Grade,Packaging Material,Consumable,Roll,Opex-Logistics
246,PaperMate Whiteboard Markers - Ream (500),Office Supplies,Consumable,Box,Opex-Admin
247,Industrial Corrugated Box - Industrial Grade,Packaging Material,Consumable,Roll,Opex-Logistics
248,Marketing Svc Item 247 (Standard),Marketing Svc,Service,Month,Opex-Marketing
249,Unilever Hellmann's Mayo (Pack of 6),Groceries,Stock,Kg,Inventory
250,Pilot Whiteboard Markers - Pack of 5,Office Supplies,Consumable,Box,Opex-Admin
251,Unilever Knorr Soup (Pack of 6),Groceries,Stock,Kg,Inventory
252,Marketing Svc Item 251 (Standard),Marketing Svc,Service,Month,Opex-Marketing
253,Pilot Whiteboard Markers - Single,Office Supplies,Consumable,Box,Opex-Admin
254,LG 27UK850 (1080p 60Hz),IT Equipment,Asset,Pcs,Capex-IT
255,Calvin Klein Formal Blazer - Beige [XL],Men Fashion,Stock,Pcs,Inventory
256,"Industrial Packing Tape - 12x12x12""",Packaging Material,Consumable,Roll,Opex-Logistics
257,Industrial Bubble Wrap - Clear 2 inch,Packaging Material,Consumable,Roll,Opex-Logistics
258,Facility Mgmt Item 257 (Standard),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
259,Zara Polo T-Shirt - Charcoal [M],Men Fashion,Stock,Pcs,Inventory
260,Levi's Crew Neck Sweater - Black [XL],Men Fashion,Stock,Pcs,Inventory
261,Packaging Material Item 260 (Standard),Packaging Material,Consumable,Roll,Opex-Logistics
262,Unilever Lipton Green Tea (5kg),Groceries,Stock,Kg,Inventory
263,Facility Mgmt Item 262 (Standard),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
264,Nike Chino Trousers - Charcoal [34],Men Fashion,Stock,Pcs,Inventory
265,Tommy Hilfiger Formal Blazer - Grey [32],Men Fashion,Stock,Pcs,Inventory
266,Packaging Material Item 265 (Standard),Packaging Material,Consumable,Roll,Opex-Logistics
267,Packaging Material Item 266 (Standard),Packaging Material,Consumable,Roll,Opex-Logistics
268,Bic Sticky Notes 3x3 - Single,Office Supplies,Consumable,Box,Opex-Admin
269,Packaging Material Item 268 (Standard),Packaging Material,Consumable,Roll,Opex-Logistics
270,3M Sticky Notes 3x3 - Box of 12,Office Supplies,Consumable,Box,Opex-Admin
271,PaperMate Ballpoint Pens (Blue) - Single,Office Supplies,Consumable,Box,Opex-Admin
272,Lenovo IdeaPad 5 - M2 Chip/8GB,IT Equipment,Asset,Pcs,Capex-IT
273,Adidas Chino Trousers - Black [34],Men Fashion,Stock,Pcs,Inventory
274,Marketing Svc Item 273 (Standard),Marketing Svc,Service,Month,Opex-Marketing
275,Samsung Galaxy A54 256GB (Phantom Black),Mobile Phones,Stock,Pcs,Inventory
276,Facility Mgmt Item 275 (Standard),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
277,Facility Mgmt Item 276 (Standard),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
278,Bic Stapler Heavy Duty - Single,Office Supplies,Consumable,Box,Opex-Admin
279,Marketing Svc Item 278 (Standard),Marketing Svc,Service,Month,Opex-Marketing
280,Staples Copy Paper A4 - Box of 12,Office Supplies,Consumable,Box,Opex-Admin
281,Marketing Svc Item 280 (Standard),Marketing Svc,Service,Month,Opex-Marketing
282,Microsoft Surface Laptop 5 - i5/8GB/256GB,IT Equipment,Asset,Pcs,Capex-IT
283,Levi's Hoodie - Blue [34],Men Fashion,Stock,Pcs,Inventory
284,Pilot Sticky Notes 3x3 - Single,Office Supplies,Consumable,Box,Opex-Admin
285,Nestle Cerelac (500g),Groceries,Stock,Kg,Inventory
286,PaperMate Copy Paper A4 - Single,Office Supplies,Consumable,Box,Opex-Admin
287,Adidas Slim Fit Shirt - Olive [34],Men Fashion,Stock,Pcs,Inventory
288,Facility Mgmt Item 287 (Standard),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
289,Marketing Svc Item 288 (Standard),Marketing Svc,Service,Month,Opex-Marketing
290,Google Pixel 6a 128GB (Midnight),Mobile Phones,Stock,Pcs,Inventory
291,Uniqlo Chino Trousers - Blue [32],Men Fashion,Stock,Pcs,Inventory
292,Staples Whiteboard Markers - Box of 12,Office Supplies,Consumable,Box,Opex-Admin
293,H&M Crew Neck Sweater - Beige [M],Men Fashion,Stock,Pcs,Inventory
294,Facility Mgmt Item 293 (Standard),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
295,Marketing Svc Item 294 (Standard),Marketing Svc,Service,Month,Opex-Marketing
296,Facility Mgmt Item 295 (Standard),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
297,Packaging Material Item 296 (Standard),Packaging Material,Consumable,Roll,Opex-Logistics
298,Packaging Material Item 297 (Standard),Packaging Material,Consumable,Roll,Opex-Logistics
299,Packaging Material Item 298 (Standard),Packaging Material,Consumable,Roll,Opex-Logistics
300,Calvin Klein Formal Blazer - Grey [S],Men Fashion,Stock,Pcs,Inventory
301,Calvin Klein Chino Trousers - Navy [XL],Men Fashion,Stock,Pcs,Inventory
302,Facility Mgmt Item 301 (Standard),Facility Mgmt,Service,AU (Activity Unit),Opex-Facility
303,Corsair Headset - White,IT Equipment,Asset,Pcs,Capex-IT
304,Apple iPhone 14 512GB (Starlight),Mobile Phones,Stock,Pcs,Inventory
305,"Apple MacBook Pro 16"" - i7/16GB/512GB",IT Equipment,Asset,Pcs,Capex-IT
306,LocalFarm Wheat Flour (1L Bottle),Groceries,Stock,Kg,Inventory
307,Staples Sticky Notes 3x3 - Box of 12,Office Supplies,Consumable,Box,Opex-Admin
308,Uniqlo Chino Trousers - Beige [32],Men Fashion,Stock,Pcs,Inventory
309,"Apple MacBook Pro 14"" - 8GB/256GB",IT Equipment,Asset,Pcs,Capex-IT
310,Packaging Material Item 309 (Standard),Packaging Material,Consumable,Roll,Opex-Logistics
311,Uniqlo Slim Fit Shirt - Grey [34],Men Fashion,Stock,Pcs,Inventory
312,Google Pixel 7 Pro 512GB (Midnight),Mobile Phones,Stock,Pcs,Inventory
313,Marketing Svc Item 312 (Standard),Marketing Svc,Service,Month,Opex-Marketing
314,BenQ GW2480 (USB-C Hub),IT Equipment,Asset,Pcs,Capex-IT
315,Bic Stapler Heavy Duty - Box of 12,Office Supplies,Consumable,Box,Opex-Admin
316,Nike Hoodie - Charcoal [L],Men Fashion,Stock,Pcs,Inventory
317,Nestle Gold Coffee (500g),Groceries,Stock,Kg,Inventory
318,Adidas Slim Fit Shirt - Charcoal [S],Men Fashion,Stock,Pcs,Inventory
